item,specification,frozen_value
phase,PHASE D1 - PIT CONTEXT DATA FOUNDATION (SECTOR + FUNDAMENTAL READINESS),data foundation only
governance,R1.5 accepted S1.1=C NO STABLE RANKING VALUE; contemporaneous BB depth ranking branch CLOSED; REPEAT_HIT exploratory lead NOT REGISTERED FOR DEVELOPMENT; next direction = PIT sector + PIT fundamental auditable historical data layer,"accepted S1.1"
purpose,answer two questions for every 2020-2024 B20 signal date: (1) what industry/sector did this stock belong to as-of that date; (2) which financials had been publicly disclosed as-of that date. No strategy tests. No outcome-driven feature selection. 2025-2026 CLOSED,"foundation only"
pit_rule,feature at signal_date=T may use ONLY information with publish/announcement/effective date <= T; joining by report_period/end_date alone is FORBIDDEN (e.g. 2023 annual report announced 2024-03-28 is invisible before 2024-03-28),"ann_date <= T"
signal_universe,S1 frozen B20 signal keys ONLY (ts_code, signal_date) 2020-01-01..2024-12-31 (n=63,785); no future episode return/MAE/MFE loaded for construction; outcome fields never used for coverage/imputation/threshold decisions,"S1 B20 keys only"
sector_source,PRIMARY = 申万 2021 L1 via Tushare index_classify(level=L1,src=SW2021) + index_member(in_date/out_date) rebuilding historical membership; stock_basic.industry treated as CURRENT SNAPSHOT and NEVER backfilled; 东方财富/同花顺 current industry backfill FORBIDDEN; name/business manual inference FORBIDDEN,"SW2021 L1 + index_member"
sector_membership,membership valid on date T iff membership_start<=T AND (membership_end is null OR membership_end>T); industry changes must be reconstructable from in/out dates; machine-asserted spot checks: >=50 ts_code x 5 historical dates + all industry-change stocks,"start<=T<end"
sector_classification,A READY >=95% B20 signal coverage AND historical changes reconstructable AND spot checks PASS; B PARTIAL 70-<95% with reliable PIT semantics; C NOT READY <70% or current-snapshot only; D INVALID unfixable future leakage,"frozen gates"
financial_sources,Tushare fina_indicator (ts_code, per-stock, ratios/indicators) + income (revenue/n_income_attr_p cumulative) + cashflow (n_cashflow_act cumulative) + express (by period) + forecast (per-stock); keep ann_date/f_ann_date/update_flag/report period; NEVER collapse to single final version per quarter,"5 endpoints"
revision_selector,AS_OF_VERSION_SELECTOR: for each (ts_code,end_date) keep ALL versions with ann_date; at signal_date T select the version with the LATEST ann_date <= T (ties: higher update_flag, then later f_ann_date); revised figures visible ONLY from their own ann_date; no update_flag=1 final-version backfill,"documented algorithm"
feature_store,REVENUE_TTM / NETPROFIT_TTM / OCF_TTM / REVENUE_YOY / NETPROFIT_YOY / ROE / GROSS_MARGIN / DEBT_TO_ASSET / CURRENT_RATIO(if reliable) / OCF_TO_NETPROFIT / LOSS_FLAG / NEGATIVE_OCF_FLAG / PROFIT_DECLINE_FLAG / REVENUE_DECLINE_FLAG / FORECAST_TYPE(if PIT forecast) / EXPRESS_AVAILABLE_FLAG / LATEST_REPORT_PERIOD / LATEST_ANN_DATE / FINANCIAL_AGE_DAYS; fields are raw context NOT strategy filters,"frozen field list"
ttm_semantics,TTM = latest disclosed cumulative + prior-year full-year cumulative - prior-year-same-period cumulative (4 quarters already announced); <4 quarters -> NA; FORBIDDEN to reference future quarters to fill NA,"4 announced quarters"
financial_age,FINANCIAL_AGE_DAYS = signal_date - LATEST_ANN_DATE (distinguishes freshly-announced vs stale financials),"frozen"
coverage_report,by year 2020-2024: B20 signals total / sector PIT coverage % / financial PIT coverage % / TTM coverage % / forecast coverage % / express coverage % / missing reason,"per year"
spot_checks,(1) sector: random >=50 ts_code x 5 historical dates + all known industry-change stocks, machine assert membership_start<=T and (end null or end>T); (2) financial: random 100 signal events assert selected_ann_date<=signal_date and next_later_ann_date>signal_date (if exists); 20 human-readable examples,"machine asserted"
redteam,actively search: (1) end_date/report_period merge instead of ann_date; (2) update_flag=1 backfill; (3) forward-fill across announcement dates; (4) current industry snapshot backfill; (5) future delist/ST/industry-change info; (6) TTM with future-disclosed quarters; (7) forecast/express post-publication info. Any P0 -> STOP fix re-verify,"P0 check"
news,audit only: needs timestamped announcement/news corpus (ts_code, publish datetime/date, title/category, source); no search-engine historical news retrieval to build backtest data,"audit only"
missing_value,no full-sample median imputation; missing stays NA with availability flags; any future imputation requires separate preregistration,"NA + flags"
no_outcome_rule,construction script must not load future episode return/MAE/MFE/hold outcomes for feature selection/coverage/imputation/threshold; only signal_date/ts_code as join keys,"enforced"
next_phase_gate,SECTOR A/B -> permits S2 SECTOR STRENGTH; FUNDAMENTAL A/B -> permits S3 FUNDAMENTAL DISTRESS; if both A/B prefer S3 next (technical washout vs permanent fundamental repricing hypothesis - NOT tested this phase),"gate"
invariants,I1 S1 B20 signal keys only; I2 no future return loaded for construction; I3 sector current snapshot never backfilled; I4 ann_date<=signal_date; I5 revised financial version visible only after its ann_date; I6 TTM uses only already-announced periods; I7 missing stays missing; I8 no feature threshold testing; I9 no RSI/MACD/BB new test; I10 no portfolio run; I11 no news search-engine backfill; I12 2025-2026 CLOSED; I13 prior Registry SHA unchanged,"I1-I13"
