item,specification,frozen_value
phase,PHASE D1.1 - PIT FINANCIAL VERSION-SELECTOR REMEDIATION,remediation only
governance,D1 overall PIT architecture sound but financial revision tie-break not fully consistent with D1 Registry; D1 status = HOLD / REMEDIATION REQUIRED; S3 FUNDAMENTAL DISTRESS FORBIDDEN until D1.1 PASS,"D1 HOLD"
purpose,make the financial as-of version selector exactly comply with the D1 Registry rule: for each (ts_code,end_date) at signal_date=T select latest ann_date<=T; tie1 higher update_flag; tie2 later f_ann_date; deterministic fallback; fina_indicator same-ann_date duplicates audited with PIT-safe canonical rule (AMBIGUOUS -> NA not guess). No outcome access. 2025-2026 CLOSED,"registry compliance"
strict_selector,STRICT_SELECTOR for income/cashflow: candidate set = versions with ann_date<=T; pick max ann_date; tie1 max update_flag; tie2 max f_ann_date; f_ann_date MISSING ranks BEFORE non-missing (missing treated as smallest); if still identical use deterministic row-hash tie-break (sha256 of serialized original row) - carries NO economic meaning,"frozen algorithm"
f_ann_fallback,f_ann_date missing: rank missing before non-missing so selection prefers versions with an official filing date; within non-missing pick latest f_ann_date; final identical rows -> row-hash tie-break (no economic meaning),"frozen"
fina_indicator_rule,fina_indicator has NO reliable update_flag/revision identifier; audit same (ts_code,end_date,ann_date) duplicate rows on target numeric fields (roe/grossprofit_margin/debt_to_assets/current_ratio/or_yoy/netprofit_yoy); if all (or near-all) identical -> canonical dedup keep one; if same-ann_date different values exist -> quantify; check available ordering fields; if PIT order undeterminable mark observation AMBIGUOUS and set those fields NA (never guess),"AMBIGUOUS->NA"
conflict_scan,scan raw caches of income/cashflow/fina_indicator BEFORE changing results: count (1) (ts_code,end_date,ann_date) multi-row groups; (2) groups with differing update_flag; (3) groups with same update_flag but differing f_ann_date; (4) groups with differing key numeric values (income revenue/n_income_attr_p; cashflow n_cashflow_act; fina 6 fields),frozen definitions
old_vs_strict,rebuild D1 context with STRICT_SELECTOR; compare OLD (current D1) vs STRICT per B20 signal event: latest_report_period/latest_ann_date/revenue_ttm/netprofit_ttm/ocf_ttm/revenue_yoy/netprofit_yoy/roe/gross_margin/debt_to_asset/current_ratio/flags; report changed events n/%, per-field changed %, max numeric diff, by-year changes; no hiding differences,"full diff"
spotcheck_expansion,expand PIT spot check: ALL signal events hit by selector conflicts if <=500; if >500 random 500 + 100 largest numeric-diff events; verify selected ann_date<=signal_date; for strict ties verify ann/update/f_ann priority holds,"frozen"
ttm_redteam,for every non-null TTM signal machine-check that each of the 3 components (current period, prior-year same period, prior-year full year) was selected with ann_date<=signal_date; future_component_count must equal 0; components must be latest-as-of versions at signal date,"future_component_count=0"
sector,no sector rebuild in D1.1; D1 sector B unaffected by financial selector remediation (sector uses index_member only),"sector untouched"
pass_conditions,D1.1 PASS iff: (1) STRICT_SELECTOR fully implements Registry; (2) income/cashflow tie semantics reproducible; (3) fina_indicator duplicate handling deterministic and PIT-safe; (4) all spot checks PASS; (5) TTM future_component_count=0; (6) no 2025+ read; (7) no outcome access; if strict changes D1 context, D1 coverage/summary updated transparently,"7 gates"
classification,fundamental classification recomputed with STRICT selector using D1 frozen gates (A >=95% coverage + revision semantics PASS + spotchecks PASS; B 70-<95% legal; C <70% or ann_date missing; D future contamination); sector classification unchanged from D1 B,"recompute fundamental only"
invariants,no outcome loaded; no 2025+ read; prior Registry SHA unchanged (D1 6168e104...); no strategy test; no feature threshold selection; missing stays missing except AMBIGUOUS->NA per rule,"frozen"
