feature_name,formula,family,lookback,source,source_date_rule,PIT_status,missing_policy,dtype,cs_rank_version
ret_1,close_adj_T/close_adj_{T-1} - 1,PRICE,1,daily+adj_factor,<= T (max lag 1),PIT_OK,NAN,float64,no
ret_2,close_adj_T/close_adj_{T-2} - 1,PRICE,2,daily+adj_factor,<= T (max lag 2),PIT_OK,NAN,float64,no
ret_3,close_adj_T/close_adj_{T-3} - 1,PRICE,3,daily+adj_factor,<= T (max lag 3),PIT_OK,NAN,float64,no
ret_5,close_adj_T/close_adj_{T-5} - 1,PRICE,5,daily+adj_factor,<= T (max lag 5),PIT_OK,NAN,float64,no
ret_10,close_adj_T/close_adj_{T-10} - 1,PRICE,10,daily+adj_factor,<= T (max lag 10),PIT_OK,NAN,float64,no
ret_20,close_adj_T/close_adj_{T-20} - 1,PRICE,20,daily+adj_factor,<= T (max lag 20),PIT_OK,NAN,float64,no
ret_40,close_adj_T/close_adj_{T-40} - 1,PRICE,40,daily+adj_factor,<= T (max lag 40),PIT_OK,NAN,float64,no
ret_60,close_adj_T/close_adj_{T-60} - 1,PRICE,60,daily+adj_factor,<= T (max lag 60),PIT_OK,NAN,float64,no
ret_120,close_adj_T/close_adj_{T-120} - 1,PRICE,120,daily+adj_factor,<= T (max lag 120),PIT_OK,NAN,float64,no
ret_250,close_adj_T/close_adj_{T-250} - 1,PRICE,250,daily+adj_factor,<= T (max lag 250),PIT_OK,NAN,float64,no
drawdown_20,min(close_adj_{T-20..T})/max(close_adj_{T-20..T}) - 1,PRICE,20,daily+adj_factor,<= T (max lag 20),PIT_OK,NAN,float64,no
drawdown_60,min(close_adj_{T-60..T})/max(close_adj_{T-60..T}) - 1,PRICE,60,daily+adj_factor,<= T (max lag 60),PIT_OK,NAN,float64,no
drawdown_120,min(close_adj_{T-120..T})/max(close_adj_{T-120..T}) - 1,PRICE,120,daily+adj_factor,<= T (max lag 120),PIT_OK,NAN,float64,no
