item,specification,frozen_value
phase,PHASE M2 - ONE FROZEN BROAD-MARKET ETF CARRIER TEST (panic-breadth -> executable ETF economics),carrier test not strategy optimization
governance,R2.0 commit: accept M1.2 = B_NARROW_MARKET_TRANSLATION (FWD5 +0.2752pp; 3/4 yrs; HAC [-0.300,+0.851]; corrected boot [-0.288,+0.798]; cluster-first -0.277pp); formal wording: PANIC80 has a NARROW, STATISTICALLY WEAK, EPISODE-DEPENDENT market-rebound indication; NOT validated ETF alpha / strong market alpha / robust timing signal,"frozen"
carrier_selection,carrier chosen by outcome-free metadata audit BEFORE any signal-conditioned backtest: candidates = repo broad-market A-share ETFs with full 2020-2024 OHLCV; selection ONLY by (1) breadth coverage compatibility (2) data completeness (3) inception coverage (4) liquidity/tradability (5) tracking quality; NO signal-conditioned return used; audit: results/evidence/m2/m2_carrier_audit.csv; choice: results/evidence/m2/m2_carrier_choice.json,"frozen"
primary_carrier,PRIMARY = 510300.SH 华泰柏瑞沪深300ETF (underlying 000300.SH 沪深300); list_date 2012-05-28; 2020-2024 coverage 100% (1212/1212 days, 0 missing, 0 open/amount missing); median amount ~229.9e4 wan; reason: CSI300 = standard full-market representative broad index best matching all-market B20 breadth source; full coverage; most liquid; high tracking reliability; single carrier only, NO comparison across ETFs after outcomes, NO multi-ETF pooling, NO synthetic index execution,"frozen"
signal,PANIC80 exactly as M1.2: expanding breadth percentile (date<T only), 252 prior trading-day minimum, BREADTH_PCT(T) >= prior 80th percentile; PANIC days = 188 over 2021-2024 (deployable signal days); NO threshold change (no 85/90), NO cluster-first trigger, NO continuous-rank threshold, NO new state,"frozen"
execution_timing,PANIC80 known at T close; execution = T+1 OPEN buy; T close buy FORBIDDEN; real 510300 fund_daily open price; if T+1 has no valid quote (open NaN/<=0 or amount<=0): skip that signal (frozen rule, no price backfill),"frozen"
holding_period,hold exactly 5 trading days; entry = T+1 open (holding day 1); exit = close of the 5th holding trading day = close(T+5) (trading-day indexing: exit_idx = entry_idx + 4); NO 3/10/20 testing, NO best-horizon selection,"frozen"
non_overlap,ONE ACTIVE ETF POSITION max; while held, new PANIC80 signals are IGNORED (no add, no extension, no exit reset); next trade only after current position fully exited (T_idx >= exit_idx); avoids M1 repeated-daily-panic double counting = executable non-overlapping carrier test,"frozen"
capital,independent hypothetical 100,000 RMB ETF-only account; no leverage, no margin; 100-share (100份) lot: qty = floor(cash/(price*(1+slip)))/100*100; unlevered,"frozen"
cash,idle cash earns 0; NO 513500 / money-market fund / treasury / cash-management ETF (no second return source),"frozen"
costs,ETF real cost convention: commission 0.025% one-way (min 5 RMB per side); slippage 0.10% one-way (project 10bp convention); NO stamp duty for ETF secondary market (real rule); gross/cost/net all reported; no cost reduction,"frozen"
price_data,real 510300 fund_daily OHLC (unadjusted market prices); index close NEVER substitutes executable ETF price; index only as tracking/reference diagnostic,"frozen"
benchmark,PRIMARY benchmark = BUY_AND_HOLD 510300: buy at 2021-01-04 open (100k, same lot/cost) hold to 2024-12-31 close sell (same cost); exposure-adjusted evaluation since M2 may sit in cash most of the time,"frozen"
trade_null,matched-date control per actual trade: for each actual PANIC entry date, randomly match (without replacement within permutation round) eligible non-PANIC dates from SAME calendar year; identical T+1 open -> 5th close cost convention; calendar-year stratified permutation null B=5000 seed=0; empirical p = (1 + #null >= observed)/(B+1); primary estimand = mean M2 5d trade return - mean comparable non-PANIC 5d trade return,"frozen"
inference,trade-level bootstrap B=5000 seed=0 on actual non-overlapping trades: n/mean/median/win/PF + 95% CI; no seed scanning,"frozen"
yearly,2021/2022/2023/2024 each: trade count / net PnL / net return / mean trade / win; years without trades not counted as positive; report positive trading years / available years,"frozen"
risk,ETF-only account 100k: Total Return / CAGR / MaxDD / Sharpe / Sortino / Calmar / time in market / n trades / worst trade / best trade / worst 5-day account move / max consecutive losses,"frozen"
episode_dependence,per M2 entry report its PANIC cluster first-day? and cluster day number (day1/day2/day3+); DIAGNOSTIC ONLY; no day-based selection from results; answer where real non-overlap trades occur in cluster,"frozen"
exit,frozen time exit only (5 trading days); NO BB upper / profit target / stop-loss / MA / ATR / RSI / dynamic exit,"frozen"
no_go,no multiple-ETF outcome comparison; no multiple hold periods; no multiple PANIC thresholds; no cluster-day selection; no adding; no signal refresh; no holding extension; no take-profit/stop-loss; no RSI/MACD/weekly; no stock portfolio integration; no leverage; no 2025-2026,"frozen"
classification,A_STRONG_CARRIER_TRANSLATION ALL: (1) net total return>0 (2) mean net trade>0 (3) trade bootstrap lower>0 (4) permutation empirical p<0.05 (5) >=3/4 available years net positive (6) MaxDD acceptable and no single trade >50% total PnL; B_NARROW: net economic return>0 and mean trade>0 and >=3/4 years positive but bootstrap/permutation partially insignificant and risk acceptable; C_NO_USEFUL_CARRIER_EDGE: weak/zero net return or matched non-panic advantage absent; D_HARMFUL: net negative or risk materially bad,"frozen"
interpretation,even A/B does NOT declare production strategy (2020-2024 remains development); M2 success only means breadth signal found a possibly implementable ETF carrier architecture; freeze final architecture + open 2025-2026 blind validation discussed AFTER M2 acceptance only; no 2025-2026 read inside M2,"frozen"
invariants,I1 M1.2 accepted B; I2 only one ETF carrier; I3 carrier chosen before signal-conditioned outcome; I4 PANIC80 unchanged; I5 T signal -> T+1 open; I6 5 trading-day hold exact; I7 one active ETF position; I8 new signals ignored while held; I9 no holding extension; I10 100k unlevered ETF-only account; I11 real fund_daily OHLC; I12 cost frozen; I13 matched null present; I14 no threshold/horizon scan; I15 no 2025-2026,"frozen"
