episode_id,ts_code,stock_name,signal_date,entry_date,exit_date,exit_type,levels_used,hold_days,total_cost,pnl,simple_return_pct
52645,300781.SZ,因赛集团,2024-01-29,2024-01-30,2024-02-22,TAKE_PROFIT_DYN,4,11,793937.3080438799,561721.5595926004,70.75137468682286
50122,688498.SH,源杰科技,2023-12-22,2023-12-25,2024-03-04,TAKE_PROFIT_DYN,4,43,778431.7916575199,489458.7536374802,62.877539032067595
50359,300044.SZ,赛为智能,2023-12-26,2023-12-27,2024-03-29,TAKE_PROFIT_DYN,5,60,998801.16480144,460790.5378032001,46.13436127648134
52433,603615.SH,茶花股份,2024-01-22,2024-01-23,2024-03-18,TAKE_PROFIT_DYN,4,33,796644.7157869199,438079.28025708,54.990546171432065
51254,600661.SH,昂立教育,2024-01-17,2024-01-18,2024-02-27,TAKE_PROFIT_DYN,5,22,998458.73379252,435162.7371999598,43.58344741470174
50386,300612.SZ,宣亚国际,2023-12-26,2023-12-27,2024-02-28,TAKE_PROFIT_DYN,5,38,996972.86356668,426466.5516738,42.77614439254764
52713,300556.SZ,丝路视觉,2024-01-30,2024-01-31,2024-03-20,TAKE_PROFIT_DYN,4,29,796929.07370076,425875.9276688399,53.43962740512998
51854,002076.SZ,雪莱特,2024-01-22,2024-01-23,2024-03-13,TAKE_PROFIT_DYN,5,30,999904.5536079598,410250.27359844,41.02894342446309
51612,001229.SZ,魅视科技,2024-01-19,2024-01-22,2024-03-15,TAKE_PROFIT_DYN,4,33,793947.32064648,405239.3043415202,51.04108217300234
51435,300157.SZ,恒泰艾普,2024-01-18,2024-01-19,2024-03-01,TAKE_PROFIT_DYN,5,24,999567.12890034,404169.01021926,40.43440390680925
52096,300654.SZ,世纪天鸿,2024-01-22,2024-01-23,2024-03-19,TAKE_PROFIT_DYN,5,34,998626.9455162,389756.25071459985,39.02921430916638
52064,300441.SZ,鲍斯股份,2024-01-22,2024-01-23,2024-03-21,TAKE_PROFIT_DYN,5,36,998941.3412378398,387559.1729196002,38.79699006543824
51738,601798.SH,蓝科高新,2024-01-19,2024-01-22,2024-02-22,TAKE_PROFIT_DYN,4,17,799065.7630956,381853.0559844001,47.78743798321332
49971,002467.SZ,二六三,2023-12-22,2023-12-25,2024-02-23,TAKE_PROFIT_DYN,5,37,998851.2278144398,381835.53215676,38.22746786748657
22259,603819.SH,神力股份,2022-02-24,2022-02-25,2022-06-08,TAKE_PROFIT_DYN,4,67,798172.6389436799,377097.72118938016,47.24513254280929
50459,600818.SH,ST中路,2023-12-26,2023-12-27,2024-03-04,TAKE_PROFIT_DYN,4,41,798197.6704501798,367837.37889822014,46.08349441696084
52151,301052.SZ,果麦文化,2024-01-22,2024-01-23,2024-03-20,TAKE_PROFIT_DYN,4,35,798403.9300637399,365874.2155470601,45.8257032274191
53155,300175.SZ,朗源股份,2024-03-18,2024-03-19,2024-05-06,TAKE_PROFIT_DYN,5,29,999007.4244149998,360177.2295858001,36.05350879115971
