item,value,note
旧版 股票净现金,614998.71,97笔股票买卖净额
旧版 ETF净现金,279283.5,301笔ETF买卖净额
旧版 分红税后入账,59371.25,分红日即时扣税后净额
旧版 卖出结算税,0.0,"旧版分红日已扣,卖出不结算"
旧版 合计(=期末权益-100万),953653.46,95.3653%
新版 股票净现金,631623.68,"97笔(entry/exit一致,8笔加仓股数不同)"
新版 ETF净现金,164361.55,294笔ETF买卖净额
新版 分红税前入账,76474.76,"税前全额入账,税卖出时结算"
新版 卖出结算红利税,-10531.25,FIFO最终持股期限 20/10/0%
新版 合计(=期末权益-100万),861928.74,86.1929%
差额 股票,16624.97,"NEW-OLD, 加仓股数差(现金时点影响)"
差额 ETF,-114921.95,"NEW-OLD, ETF再平衡路径差(核心)"
差额 分红入账口径,17103.51,"NEW-OLD, 税前 vs 税后入账"
差额 卖出结算税,-10531.25,"NEW-OLD, 新版卖出结算"
差额 合计,-91724.72,"与期末权益差完全闭平, 残差≈0"
直接税差(新版少交税),6572.26,旧分红日扣17103.51 vs 新卖出结算扣10531.25
路径效应(股票+ETF),-98296.98,"蝴蝶效应放大, 非单一税差"
