round,ts_code,name,entry_date,exit_date,exit_type,levels_used,shares,pnl,div_income,return_pct,hold_days
0,300750.SZ,,2020-03-02,2020-04-15,TAKE_PROFIT_DYN,3,3000,-17564.68204523984,0.0,-4.33,31
1,601318.SH,,2020-03-02,2020-04-17,TAKE_PROFIT_DYN,3,7900,-18830.235931379837,0.0,-3.22,33
2,000725.SZ,,2020-03-17,2020-05-11,TAKE_PROFIT_DYN,2,57200,27049.232838490076,0.0,13.44,35
3,002714.SZ,,2020-05-12,2020-06-18,TAKE_PROFIT_DYN,1,2890,13144.616005672055,748.0,6.69,27
4,000063.SZ,,2020-05-26,2020-06-18,TAKE_PROFIT_DYN,1,5300,16120.073579040036,0.0,8.14,17
5,002415.SZ,,2020-05-26,2020-06-18,TAKE_PROFIT_DYN,1,7100,17798.296990300034,3976.0,8.94,17
6,600030.SH,,2020-09-08,2020-10-12,TAKE_PROFIT_DYN,1,6600,6218.746201800037,0.0,3.14,18
7,002456.SZ,,2020-09-02,2020-10-28,TAKE_PROFIT_DYN,4,50100,619.3036060200538,0.0,0.08,34
8,300136.SZ,,2020-10-13,2020-11-09,TAKE_PROFIT_DYN,2,4100,3248.277953800047,0.0,1.53,19
9,600745.SH,,2020-09-09,2020-12-07,TAKE_PROFIT_DYN,1,1600,-12521.759578559984,0.0,-6.35,57
10,300122.SZ,,2020-11-12,2020-12-07,TAKE_PROFIT_DYN,2,3000,54316.04187384003,0.0,14.23,17
11,601012.SH,,2020-11-16,2020-12-09,TAKE_PROFIT_DYN,2,5900,44080.38923274004,0.0,11.34,17
12,002475.SZ,,2020-12-15,2020-12-23,TAKE_PROFIT_DYN,1,4000,16542.517852800025,0.0,8.32,6
13,000651.SZ,,2020-12-10,2021-01-05,TAKE_PROFIT_DYN,2,6300,17866.163868840027,0.0,4.57,17
14,688981.SH,,2020-12-17,2021-01-11,TAKE_PROFIT_DYN,2,7300,64331.10767142009,0.0,16.3,16
15,601318.SH,,2021-01-29,2021-02-25,TAKE_PROFIT_DYN,3,7400,54171.76402116008,0.0,9.21,14
16,300059.SZ,,2021-02-26,2021-04-02,TAKE_PROFIT_DYN,1,6500,-11203.857217799989,0.0,-5.64,25
17,300750.SZ,,2021-02-01,2021-04-14,TAKE_PROFIT_DYN,2,1100,9160.2268936201,0.0,2.47,46
18,002475.SZ,,2021-01-29,2021-04-19,TAKE_PROFIT_DYN,4,18000,-141841.66781879996,0.0,-17.95,50
19,601166.SH,,2021-04-16,2021-05-12,TAKE_PROFIT_DYN,1,9500,19773.281680200016,0.0,9.92,15
20,002352.SZ,,2021-04-13,2021-05-18,TAKE_PROFIT_DYN,2,6000,7836.815169000067,1584.0,2.0,22
21,600031.SH,,2021-05-14,2021-06-01,TAKE_PROFIT_DYN,1,7200,27316.012060800014,0.0,13.7,12
22,002594.SZ,,2021-05-06,2021-06-08,TAKE_PROFIT_DYN,2,2500,130569.90949440008,0.0,34.73,23
23,002340.SZ,,2021-06-08,2021-07-06,TAKE_PROFIT_DYN,3,63100,32393.325431640027,757.2,5.42,19
24,000661.SZ,,2021-05-25,2021-07-19,TAKE_PROFIT_DYN,3,1300,17204.591380860074,0.0,3.33,38
25,600031.SH,,2021-06-15,2021-08-03,TAKE_PROFIT_DYN,3,22300,29806.78991808009,3360.0,5.0,35
26,002241.SZ,,2021-07-23,2021-08-05,TAKE_PROFIT_DYN,1,5200,20051.076239999995,0.0,10.04,9
27,002460.SZ,,2021-08-17,2021-08-30,TAKE_PROFIT_DYN,1,1200,46533.204233280005,0.0,23.77,9
28,300750.SZ,,2021-08-17,2021-09-14,TAKE_PROFIT_DYN,1,400,18721.386024480045,0.0,9.64,20
29,000858.SZ,,2021-07-09,2021-09-27,TAKE_PROFIT_DYN,5,4100,-75304.99487231986,0.0,-7.82,54
30,600111.SH,,2021-09-30,2021-10-25,TAKE_PROFIT_DYN,1,4600,43323.64158564,0.0,22.04,12
31,002466.SZ,,2021-09-23,2021-11-09,TAKE_PROFIT_DYN,2,3800,20545.878086640034,0.0,5.28,28
32,601919.SH,,2021-09-29,2021-11-30,TAKE_PROFIT_DYN,2,24700,12082.559413860145,0.0,3.04,39
33,600030.SH,,2021-11-17,2021-12-06,TAKE_PROFIT_DYN,1,8300,15367.273661520041,0.0,7.73,13
34,000651.SZ,,2021-10-28,2021-12-09,TAKE_PROFIT_DYN,2,11100,14107.272843060084,0.0,3.57,30
35,601012.SH,,2021-12-02,2022-03-01,TAKE_PROFIT_DYN,4,10300,50289.191366400104,0.0,6.47,57
36,002594.SZ,,2021-12-17,2022-03-01,TAKE_PROFIT_DYN,3,2200,-18356.8414589999,0.0,-3.16,46
37,000858.SZ,,2022-03-04,2022-04-14,TAKE_PROFIT_DYN,3,3300,-1587.9155173199251,0.0,-0.28,27
38,300014.SZ,,2022-03-04,2022-06-01,TAKE_PROFIT_DYN,4,7900,86183.67825529992,0.0,14.47,58
39,300750.SZ,,2021-12-21,2022-06-02,TAKE_PROFIT_DYN,5,1500,-93704.74001603981,0.0,-12.4,106
40,300122.SZ,,2022-04-15,2022-06-15,TAKE_PROFIT_DYN,3,3800,-70298.25251309987,0.0,-16.27,39
41,002241.SZ,,2022-06-24,2022-08-05,TAKE_PROFIT_DYN,1,6200,5298.755489640054,0.0,2.65,30
42,600036.SH,,2022-07-14,2022-08-31,TAKE_PROFIT_DYN,3,16800,-3973.746135680005,6453.28,-0.67,34
43,601888.SH,,2022-08-09,2022-09-26,TAKE_PROFIT_DYN,2,2100,27057.328811100102,0.0,6.98,33
44,300274.SZ,,2022-09-01,2022-10-12,TAKE_PROFIT_DYN,2,3500,50102.898709500034,0.0,12.99,23
45,601899.SH,,2022-09-27,2022-10-27,TAKE_PROFIT_DYN,2,52000,33361.96521996008,0.0,8.34,17
46,002594.SZ,,2022-07-13,2022-11-04,TAKE_PROFIT_DYN,5,3300,-22679.665055280086,50.4,-2.42,76
47,000858.SZ,,2022-10-28,2022-11-30,TAKE_PROFIT_DYN,1,1400,27175.241918160027,0.0,14.09,23
48,600519.SH,,2022-10-13,2022-12-01,TAKE_PROFIT_DYN,3,300,23055.763462020142,0.0,4.87,35
49,300274.SZ,,2022-12-07,2023-01-03,TAKE_PROFIT_DYN,2,3800,47329.49639286008,0.0,12.13,18
50,002241.SZ,,2022-11-14,2023-01-05,TAKE_PROFIT_DYN,2,23700,33130.5608633401,0.0,8.32,37
51,601012.SH,,2022-12-23,2023-01-18,TAKE_PROFIT_DYN,1,4900,21942.58334561999,0.0,11.13,17
52,300014.SZ,,2023-01-12,2023-02-01,TAKE_PROFIT_DYN,1,2300,13306.541338800045,0.0,6.76,9
53,300750.SZ,,2023-02-20,2023-03-31,TAKE_PROFIT_DYN,3,1300,17700.534621900006,0.0,3.42,29
54,300059.SZ,,2023-03-08,2023-04-03,TAKE_PROFIT_DYN,2,20500,25645.871697299997,0.0,6.45,18
55,000858.SZ,,2023-04-11,2023-05-22,TAKE_PROFIT_DYN,2,2100,-10747.346324399929,0.0,-2.84,26
56,600519.SH,,2023-04-13,2023-06-15,TAKE_PROFIT_DYN,2,200,18489.42213948007,0.0,5.58,42
57,600809.SH,,2023-05-23,2023-07-25,TAKE_PROFIT_DYN,4,3300,60912.70515864005,5378.4,8.93,43
58,300418.SZ,,2023-06-27,2023-08-14,TAKE_PROFIT_DYN,2,9200,-28675.43148455996,0.0,-7.3,34
59,600276.SH,,2023-08-01,2023-08-28,TAKE_PROFIT_DYN,3,14100,12114.900654120021,0.0,2.03,19
60,002475.SZ,,2023-09-08,2023-10-11,TAKE_PROFIT_DYN,1,6700,12913.386270840041,0.0,6.53,17
61,300014.SZ,,2023-02-21,2023-10-27,TAKE_PROFIT_DYN,5,14700,-292738.86359171977,2116.8,-29.69,166
62,601012.SH,,2023-11-03,2023-12-28,TAKE_PROFIT_DYN,3,27300,-9234.274008959881,0.0,-1.55,39
63,600519.SH,,2023-10-16,2023-12-29,TAKE_PROFIT_DYN,2,200,-1133.5487763598794,0.0,-0.33,54
64,002594.SZ,,2023-08-15,2024-01-11,TAKE_PROFIT_DYN,5,3700,-153983.69568449992,0.0,-17.36,100
65,002230.SZ,,2024-01-04,2024-02-08,TAKE_PROFIT_DYN,2,9400,13385.429243999999,0.0,3.4,25
66,000625.SZ,,2024-01-05,2024-02-26,TAKE_PROFIT_DYN,3,44900,74650.82531741995,0.0,12.46,30
67,000661.SZ,,2024-01-15,2024-02-28,TAKE_PROFIT_DYN,2,3100,19777.41316980007,0.0,5.12,26
68,601318.SH,,2024-03-25,2024-04-29,TAKE_PROFIT_DYN,2,10100,31219.20210617996,0.0,7.9,23
69,000628.SZ,,2024-04-01,2024-05-21,TAKE_PROFIT_DYN,3,8700,-132298.2722734199,0.0,-22.34,31
70,000977.SZ,,2024-05-29,2024-07-09,TAKE_PROFIT_DYN,1,5400,9069.390446759993,561.6,4.54,28
71,000625.SZ,,2024-05-07,2024-07-10,TAKE_PROFIT_DYN,2,28300,9824.014827380015,3649.52,2.47,45
72,603019.SH,,2024-03-28,2024-07-16,TAKE_PROFIT_DYN,2,9000,-11475.95086391992,1295.4,-2.88,72
73,601919.SH,,2024-07-15,2024-09-20,TAKE_PROFIT_DYN,3,45900,13140.376830900088,0.0,2.27,47
