field,value,status
phase,F22_BREAK_EVEN_PRECISION_REMEDIATION,frozen
supersedes,F21_BREAK_EVEN_PRECISION_MODULE_INVALID,frozen
f21_core_evidence,MATCHED_SHARE_O1_VALID_unchanged,frozen
primary_value_estimand,ANCHOR_DAY_EQUAL_WEIGHT,frozen
failure_label,O1_final_natural_loser_final_return_le_0,frozen
o2_o3,NOT_in_break_even_headline,frozen
day_component_A_d,sum_matched_delta_of_O1_failure_episodes_on_day_d_divided_by_n_day,frozen
day_component_B_d,sum_matched_delta_of_O1_recovery_episodes_on_day_d_divided_by_n_day,frozen
empty_component_rule,day_with_no_failure_A_d_0_day_with_no_recovery_B_d_0,frozen
day_universe,ALL_752_anchor_days_equal_weight,frozen
analytic_A,mean_over_days_of_A_d,frozen
analytic_B,mean_over_days_of_B_d_expected_le_0,frozen
analytic_expected_delta,TPR_multiplies_A_plus_FPR_multiplies_B,frozen
forbidden_decomposition,pref_d_times_mean_d_mixes_failure_and_recovery_NOT_ALLOWED,frozen
TPR_grid,0.25_0.50_0.75_1.00,frozen
FPR_grid,0_0.05_0.10_0.20_0.30_0.50_1.00,frozen
mc_parity,recompute_frozen_grid_B2000_seed42_compare_analytic_vs_MC,frozen
mc_parity_gate,max_abs_difference_lt_0.02pp_or_machine_MC_reasonable_threshold_else_STOP,frozen
grid_reproduction,recomputed_grid_must_match_f21_confusion_value_grid_within_MC_tolerance_else_STOP,frozen
break_even_root,FPR_be_TPR_equals_TPR_multiplies_A_divided_by_minus_B,frozen
break_even_clip,clip_display_0_1_but_keep_raw_root,frozen
break_even_forbidden,pref_d_times_mean_d_method_frozen_out,frozen
precision_prevalence,EPISODE_LEVEL_pi_equals_N_failure_divided_by_N_total_approx_0.63336,frozen
precision_formula,t_multiplies_pi_divided_by_t_pi_plus_f_1_minus_pi,frozen
precision_forbidden,day_equal_mean_failure_prevalence_NOT_allowed,frozen
break_even_precision,precision_at_corrected_FPR_be_t,frozen
safe_frontier,largest_grid_FPR_with_95_CI_lower_gt_0_per_TPR,frozen
safe_vs_point,statistically_positive_frontier_reported_separately_from_point_break_even,frozen
contradiction_test,IF_TPR_0.5_FPR_0.2_MC_expected_gt_0_THEN_point_break_even_FPR_must_be_gt_0.20,frozen
classification_rule,UNCHANGED_from_F21_registry_A_B_C_D,frozen
expected_classification,FINAL_still_B_given_grid_unchanged,frozen
matched_delta,I1_unchanged_from_F21,frozen
invariants,I1_matched_delta_unchanged_I2_f21_grid_reproduced_I3_analytic_MC_parity_I4_episode_prevalence_I5_all_752_days_I6_classification_rule_unchanged_I7_no_2025_I8_prior_registry_sha_unchanged_I9_no_predictor_stop_new_timing,frozen
registry_f1_sha,a052309e6f939796795566d1cd1094e2ec706f53250c231377c64efb315eef14,frozen
registry_f11_sha,aacb2146308abd155401c1231209b7cab14e1bc44c50e6f19007ac39582aef91,frozen
registry_f2_sha,9ed07a575ae65bbda3d63321e676431231d00548bb8977fb443764163b85642a,frozen
registry_f21_sha,12f8311c52df76ca6fc10cb7f5f43a95bae4e1c9a9dc1f5880bfdcee60357787,frozen
