feature_name,family,source,formula,lookback,PIT,missing_policy,missing_rate
bb_z,PRICE_LOCATION,SIGW,(close_adj - bb_mid) / ((bb_upper - bb_mid)/2)，主线冻结口径,20,信号日收盘已知,保留 NaN，树模型原生处理/线性模型训练集填充,TBD(构建后填充)
distance_to_lower_band,PRICE_LOCATION,SIGW,(close_adj - bb_lower)/bb_mid*100，主线冻结口径,20,信号日收盘已知,同 bb_z,TBD(构建后填充)
distance_ma5,PRICE_LOCATION,MLBB,(close_adj / MA5(close_adj) - 1)*100,5,<= 信号日窗口,同 bb_z,TBD(构建后填充)
distance_ma10,PRICE_LOCATION,MLBB,(close_adj / MA10(close_adj) - 1)*100,10,<= 信号日窗口,同 bb_z,TBD(构建后填充)
distance_ma20,PRICE_LOCATION,MLBB,(close_adj / MA20(close_adj) - 1)*100,20,<= 信号日窗口,同 bb_z,TBD(构建后填充)
distance_ma60,PRICE_LOCATION,MLBB,(close_adj / MA60(close_adj) - 1)*100,60,<= 信号日窗口,同 bb_z,TBD(构建后填充)
ret_1d,PRICE_LOCATION,MLBB,close_adj 1 日收益(%),1,<= 信号日窗口,同 bb_z,TBD(构建后填充)
ret_3d,PRICE_LOCATION,MLBB,close_adj 3 日收益(%),3,<= 信号日窗口,同 bb_z,TBD(构建后填充)
ret_5d,PRICE_LOCATION,MLBB,close_adj 5 日收益(%),5,<= 信号日窗口,同 bb_z,TBD(构建后填充)
ret_10d,PRICE_LOCATION,MLBB,close_adj 10 日收益(%),10,<= 信号日窗口,同 bb_z,TBD(构建后填充)
ret_20d,PRICE_LOCATION,MLBB,close_adj 20 日收益(%),20,<= 信号日窗口,同 bb_z,TBD(构建后填充)
ret_60d,PRICE_LOCATION,CD,close_adj 60 日收益(%)（Phase 1 新增，<= 信号日窗口）,60,<= 信号日窗口,同 bb_z,TBD(构建后填充)
drawdown_20,PRICE_LOCATION,MLBB,(close_adj / rolling20max - 1)*100,20,<= 信号日窗口,同 bb_z,TBD(构建后填充)
drawdown_60,PRICE_LOCATION,MLBB,(close_adj / rolling60max - 1)*100,60,<= 信号日窗口,同 bb_z,TBD(构建后填充)
distance_52w_high,PRICE_LOCATION,MLBB,(close_adj / rolling250max - 1)*100,250,<= 信号日窗口,同 bb_z,TBD(构建后填充)
atr14_pct,VOLATILITY,MLBB,ATR14 / close_adj * 100,14,<= 信号日窗口,同 bb_z,TBD(构建后填充)
realized_vol_10,VOLATILITY,MLBB,close_adj 日收益 10 日滚动 std(%),10,<= 信号日窗口,同 bb_z,TBD(构建后填充)
realized_vol_20,VOLATILITY,MLBB,close_adj 日收益 20 日滚动 std(%),20,<= 信号日窗口,同 bb_z,TBD(构建后填充)
bb_width,VOLATILITY,MLBB,(bb_upper - bb_lower)/bb_mid，主线冻结口径,20,信号日收盘已知,同 bb_z,TBD(构建后填充)
daily_range_pct,VOLATILITY,MLBB,(high_adj - low_adj)/close_adj*100,1,信号日收盘已知,同 bb_z,TBD(构建后填充)
gap_pct,GAP,MLBB,(open_adj / prev_close_adj - 1)*100,1,信号日开盘已知,同 bb_z,TBD(构建后填充)
log_amount,LIQUIDITY,MLBB,log(signal_day_amount),1,信号日收盘已知,同 bb_z,TBD(构建后填充)
amount_percentile,LIQUIDITY,MLBB,信号日成交额在过去 250 日的分位,250,<= 信号日窗口,同 bb_z,TBD(构建后填充)
volume_ratio_5_20,LIQUIDITY,MLBB,vol 5 日均 / 20 日均,20,<= 信号日窗口,同 bb_z,TBD(构建后填充)
amount_ratio_5_20,LIQUIDITY,MLBB,amount 5 日均 / 20 日均,20,<= 信号日窗口,同 bb_z,TBD(构建后填充)
