request_index,generator,formula,canonical_expression,expression_hash,family,expected_direction,lookback,status
1,HUMAN,"ratio(ret_5d, atr14_pct)","ratio(ret_5d,atr14_pct)",0e3860c709db098c,INTERACTION,负向（超跌越深/广度越大，D20 越高）,NA,PROPOSED
2,HUMAN,"interaction(bb_z, daily_bb_signal_count)","interaction(bb_z,daily_bb_signal_count)",a6d54e1014d6c51d,BB_CONDITIONAL,负向（超跌越深/广度越大，D20 越高）,NA,PROPOSED
3,HUMAN,"diff(ret_5d, csi300_ret_5)","diff(ret_5d,csi300_ret_5)",e5cae5fd4bba258e,INTERACTION,负向（超跌越深/广度越大，D20 越高）,NA,PROPOSED
4,HUMAN,"ratio(distance_to_lower_band, bb_width)","ratio(distance_to_lower_band,bb_width)",d2e2f5e890af43f3,BB_CONDITIONAL,负向（超跌越深/广度越大，D20 越高）,NA,PROPOSED
5,HUMAN,"interaction(drawdown_20, daily_bb_up_ratio)","interaction(daily_bb_up_ratio,drawdown_20)",02d0649a4fc687b9,INTERACTION,负向（超跌越深/广度越大，D20 越高）,NA,PROPOSED
6,HUMAN,"diff(bb_z, cs_zscore(ret_5d))","diff(bb_z,(cs_zscore,ret_5d))",b128134943507e91,BB_CONDITIONAL,负向（超跌越深/广度越大，D20 越高）,NA,PROPOSED
7,HUMAN,"ratio(ret_10d, realized_vol_20)","ratio(ret_10d,realized_vol_20)",0aa1e942e35b7de0,INTERACTION,负向（超跌越深/广度越大，D20 越高）,NA,PROPOSED
8,HUMAN,"interaction(distance_to_lower_band, amount_ratio_5_20)","interaction(amount_ratio_5_20,distance_to_lower_band)",34cbbd9ec3895dee,BB_CONDITIONAL,负向（超跌越深/广度越大，D20 越高）,NA,PROPOSED
9,HUMAN,"diff(ret_20d, csi1000_ret_20)","diff(ret_20d,csi1000_ret_20)",0eb53521380355be,INTERACTION,负向（超跌越深/广度越大，D20 越高）,NA,PROPOSED
10,HUMAN,"ratio(drawdown_60, atr14_pct)","ratio(drawdown_60,atr14_pct)",6e041e67f0a326af,INTERACTION,负向（超跌越深/广度越大，D20 越高）,NA,PROPOSED
11,HUMAN,"interaction(bb_z, turnover_rank)","interaction(bb_z,turnover_rank)",cfbef2434d54d913,BB_CONDITIONAL,负向（超跌越深/广度越大，D20 越高）,NA,PROPOSED
12,HUMAN,"diff(ret_5d, ret_20d)","diff(ret_5d,ret_20d)",750b8550c03eee27,INTERACTION,负向（超跌越深/广度越大，D20 越高）,NA,PROPOSED
13,HUMAN,"ratio(gap_pct, atr14_pct)","ratio(gap_pct,atr14_pct)",f26a3521c66da8a3,INTERACTION,负向（超跌越深/广度越大，D20 越高）,NA,PROPOSED
14,HUMAN,"interaction(daily_bb_signal_count, daily_bb_down_ratio)","interaction(daily_bb_down_ratio,daily_bb_signal_count)",7c05654c56b7c68f,INTERACTION,负向（超跌越深/广度越大，D20 越高）,NA,PROPOSED
15,HUMAN,"diff(csi500_ret_5, csi300_ret_5)","diff(csi500_ret_5,csi300_ret_5)",3b659665f42059e9,INTERACTION,负向（超跌越深/广度越大，D20 越高）,NA,PROPOSED
16,HUMAN,"ratio(log_amount, atr14_pct)","ratio(log_amount,atr14_pct)",a17266773794c175,INTERACTION,负向（超跌越深/广度越大，D20 越高）,NA,PROPOSED
17,HUMAN,"interaction(distance_52w_high, ret_20d)","interaction(distance_52w_high,ret_20d)",859a2bdc0acb5243,INTERACTION,负向（超跌越深/广度越大，D20 越高）,NA,PROPOSED
18,HUMAN,"diff(ret_3d, cs_zscore(ret_10d))","diff(ret_3d,(cs_zscore,ret_10d))",897fadb138dccf4b,INTERACTION,负向（超跌越深/广度越大，D20 越高）,NA,PROPOSED
19,HUMAN,"ratio(daily_range_pct, realized_vol_10)","ratio(daily_range_pct,realized_vol_10)",e78c2ff1d46da07f,INTERACTION,负向（超跌越深/广度越大，D20 越高）,NA,PROPOSED
20,HUMAN,"interaction(bb_width, daily_bb_signal_count)","interaction(bb_width,daily_bb_signal_count)",a77c360f69f30eed,INTERACTION,负向（超跌越深/广度越大，D20 越高）,NA,PROPOSED
21,HUMAN,"diff(drawdown_20, drawdown_60)","diff(drawdown_20,drawdown_60)",0ce7c003fc00a8d6,INTERACTION,负向（超跌越深/广度越大，D20 越高）,NA,PROPOSED
22,HUMAN,"ratio(ret_20d, bb_width)","ratio(ret_20d,bb_width)",f74fc28479901dab,INTERACTION,负向（超跌越深/广度越大，D20 越高）,NA,PROPOSED
23,HUMAN,"interaction(signal_count_last_20d, bb_z)","interaction(bb_z,signal_count_last_20d)",f4c68b6d7a39d2f7,BB_CONDITIONAL,负向（超跌越深/广度越大，D20 越高）,NA,PROPOSED
24,HUMAN,"diff(ret_5d, csi500_ret_5)","diff(ret_5d,csi500_ret_5)",8ba6f3a958e263e6,INTERACTION,负向（超跌越深/广度越大，D20 越高）,NA,PROPOSED
25,HUMAN,"ratio(distance_ma20, atr14_pct)","ratio(distance_ma20,atr14_pct)",cd1978b65dbb1b43,INTERACTION,负向（超跌越深/广度越大，D20 越高）,NA,PROPOSED
26,HUMAN,"interaction(market_up_ratio, bb_z)","interaction(bb_z,market_up_ratio)",04d87a064742e6c9,BB_CONDITIONAL,负向（超跌越深/广度越大，D20 越高）,NA,PROPOSED
27,HUMAN,"diff(log_amount, cs_zscore(amount_ratio_5_20))","diff(log_amount,(cs_zscore,amount_ratio_5_20))",2d5d573f54c83146,INTERACTION,负向（超跌越深/广度越大，D20 越高）,NA,PROPOSED
28,HUMAN,"ratio(ret_60d, realized_vol_20)","ratio(ret_60d,realized_vol_20)",27a39a07b5baeb75,INTERACTION,负向（超跌越深/广度越大，D20 越高）,NA,PROPOSED
29,HUMAN,"interaction(days_since_first_signal, bb_z)","interaction(bb_z,days_since_first_signal)",5469f24293f831dd,BB_CONDITIONAL,负向（超跌越深/广度越大，D20 越高）,NA,PROPOSED
30,HUMAN,"diff(ret_1d, ret_5d)","diff(ret_1d,ret_5d)",44cecbf2898e7fb9,INTERACTION,负向（超跌越深/广度越大，D20 越高）,NA,PROPOSED
31,TEMPLATE,"ratio(bb_z,distance_to_lower_band)","ratio(bb_z,distance_to_lower_band)",036921028205c5be,BB_CONDITIONAL,NA,NA,PROPOSED
32,TEMPLATE,"diff(bb_z,distance_to_lower_band)","diff(bb_z,distance_to_lower_band)",2a6b0acdb8d90be2,BB_CONDITIONAL,NA,NA,PROPOSED
33,TEMPLATE,"interaction(bb_z,distance_to_lower_band)","interaction(bb_z,distance_to_lower_band)",f7c56ac13becedde,BB_CONDITIONAL,NA,NA,PROPOSED
34,TEMPLATE,"min(bb_z,distance_to_lower_band)","min(bb_z,distance_to_lower_band)",4e89bfeaa8fcf3a0,BB_CONDITIONAL,NA,NA,PROPOSED
35,TEMPLATE,"max(bb_z,distance_to_lower_band)","max(bb_z,distance_to_lower_band)",8eb7971ced432b75,BB_CONDITIONAL,NA,NA,PROPOSED
36,TEMPLATE,"ratio(bb_z,ret_5d)","ratio(bb_z,ret_5d)",71e700ef12c0028b,BB_CONDITIONAL,NA,NA,PROPOSED
37,TEMPLATE,"diff(bb_z,ret_5d)","diff(bb_z,ret_5d)",4abf792fc2c89b6c,BB_CONDITIONAL,NA,NA,PROPOSED
38,TEMPLATE,"interaction(bb_z,ret_5d)","interaction(bb_z,ret_5d)",5ab64b856e63c733,BB_CONDITIONAL,NA,NA,PROPOSED
39,TEMPLATE,"min(bb_z,ret_5d)","min(bb_z,ret_5d)",1beeee70a44f02f6,BB_CONDITIONAL,NA,NA,PROPOSED
40,TEMPLATE,"max(bb_z,ret_5d)","max(bb_z,ret_5d)",9847edea9806a398,BB_CONDITIONAL,NA,NA,PROPOSED
41,TEMPLATE,"ratio(bb_z,ret_20d)","ratio(bb_z,ret_20d)",80326899f96563ed,BB_CONDITIONAL,NA,NA,PROPOSED
42,TEMPLATE,"diff(bb_z,ret_20d)","diff(bb_z,ret_20d)",fbeecfd13407ccc5,BB_CONDITIONAL,NA,NA,PROPOSED
43,TEMPLATE,"interaction(bb_z,ret_20d)","interaction(bb_z,ret_20d)",b1113c8ea2f6016d,BB_CONDITIONAL,NA,NA,PROPOSED
44,TEMPLATE,"min(bb_z,ret_20d)","min(bb_z,ret_20d)",12bef38e549dcbdf,BB_CONDITIONAL,NA,NA,PROPOSED
45,TEMPLATE,"max(bb_z,ret_20d)","max(bb_z,ret_20d)",63485569eb825bbe,BB_CONDITIONAL,NA,NA,PROPOSED
46,TEMPLATE,"ratio(bb_z,atr14_pct)","ratio(bb_z,atr14_pct)",0ca98ffebec894a8,BB_CONDITIONAL,NA,NA,PROPOSED
47,TEMPLATE,"diff(bb_z,atr14_pct)","diff(bb_z,atr14_pct)",b590911b886ee9b0,BB_CONDITIONAL,NA,NA,PROPOSED
48,TEMPLATE,"interaction(bb_z,atr14_pct)","interaction(atr14_pct,bb_z)",6e9024020df09b51,BB_CONDITIONAL,NA,NA,PROPOSED
49,TEMPLATE,"min(bb_z,atr14_pct)","min(atr14_pct,bb_z)",b900022887725736,BB_CONDITIONAL,NA,NA,PROPOSED
