date,eligible,n_signal,n_amount_pos,signal_ratio
2006-05-15,1,0,1,0.0
2006-05-16,1,0,1,0.0
2006-05-17,1,0,1,0.0
2006-05-18,1,0,1,0.0
2006-05-19,1,0,1,0.0
2006-05-22,1,0,1,0.0
2006-05-23,1,0,1,0.0
2006-05-24,1,0,1,0.0
2006-05-25,1,0,1,0.0
2006-05-26,1,0,1,0.0
2006-05-29,1,0,1,0.0
2006-05-30,1,0,1,0.0
2006-05-31,1,0,1,0.0
2006-06-01,1,0,1,0.0
2006-06-02,1,0,1,0.0
2006-06-05,1,0,1,0.0
2006-06-06,1,0,1,0.0
2006-06-07,1,0,1,0.0
2006-06-08,1,0,1,0.0
2006-06-09,1,0,1,0.0
2006-06-12,1,0,1,0.0
2006-06-13,1,0,1,0.0
2006-06-14,1,0,1,0.0
2006-06-15,1,0,1,0.0
2006-06-16,1,0,1,0.0
2006-06-19,1,0,1,0.0
2006-06-20,1,0,1,0.0
2006-06-21,1,0,1,0.0
2006-06-22,1,0,1,0.0
2006-06-23,1,0,1,0.0
2006-06-26,1,0,1,0.0
2006-06-27,1,0,1,0.0
2006-06-28,1,0,1,0.0
2006-06-29,1,0,1,0.0
2006-06-30,1,0,1,0.0
2006-07-03,1,0,1,0.0
2006-07-04,1,0,1,0.0
2006-07-05,1,0,1,0.0
2006-07-06,1,0,1,0.0
2006-07-07,1,0,1,0.0
2006-07-10,1,0,1,0.0
2006-07-11,1,0,1,0.0
2006-07-12,1,0,1,0.0
2006-07-13,1,0,1,0.0
2006-07-14,1,0,1,0.0
2006-07-17,1,0,1,0.0
2006-07-18,1,0,1,0.0
2006-07-19,1,0,1,0.0
2006-07-20,1,0,1,0.0
2006-07-21,2,0,2,0.0
2006-07-24,2,0,2,0.0
2006-07-25,2,0,2,0.0
2006-07-26,2,0,2,0.0
2006-07-27,2,0,2,0.0
2006-07-28,2,0,2,0.0
2006-07-31,2,1,2,0.5
2006-08-01,2,2,2,1.0
2006-08-02,2,1,2,0.5
2006-08-03,2,0,2,0.0
2006-08-04,2,1,2,0.5
2006-08-07,2,2,2,1.0
2006-08-08,2,0,2,0.0
2006-08-09,3,0,3,0.0
2006-08-10,3,0,3,0.0
2006-08-11,3,0,3,0.0
2006-08-14,3,0,3,0.0
2006-08-15,3,0,3,0.0
2006-08-16,3,0,3,0.0
2006-08-17,3,0,3,0.0
2006-08-18,3,0,3,0.0
2006-08-21,3,0,3,0.0
2006-08-22,3,0,3,0.0
2006-08-23,3,0,3,0.0
2006-08-24,3,0,3,0.0
2006-08-25,3,0,3,0.0
2006-08-28,3,0,3,0.0
2006-08-29,3,0,3,0.0
2006-08-30,3,0,3,0.0
2006-08-31,3,0,3,0.0
2006-09-01,3,0,3,0.0
2006-09-04,3,0,3,0.0
2006-09-05,3,0,3,0.0
2006-09-06,3,0,3,0.0
2006-09-07,3,0,3,0.0
2006-09-08,3,0,3,0.0
2006-09-11,3,0,3,0.0
2006-09-12,3,0,3,0.0
2006-09-13,3,0,3,0.0
2006-09-14,3,0,3,0.0
2006-09-15,3,0,3,0.0
2006-09-18,3,0,3,0.0
2006-09-19,3,0,3,0.0
2006-09-20,3,0,3,0.0
2006-09-21,3,0,3,0.0
2006-09-22,3,0,3,0.0
2006-09-25,3,0,3,0.0
2006-09-26,3,0,3,0.0
2006-09-27,3,0,3,0.0
2006-09-28,3,0,3,0.0
2006-09-29,3,0,3,0.0
2006-10-09,3,0,3,0.0
2006-10-10,3,0,3,0.0
2006-10-11,3,0,3,0.0
2006-10-12,3,0,3,0.0
2006-10-13,3,0,3,0.0
2006-10-16,3,0,3,0.0
2006-10-17,3,0,3,0.0
2006-10-18,3,0,3,0.0
2006-10-19,3,0,3,0.0
2006-10-20,3,0,3,0.0
2006-10-23,3,0,3,0.0
2006-10-24,3,0,3,0.0
2006-10-25,3,0,3,0.0
2006-10-26,3,0,3,0.0
2006-10-27,3,0,3,0.0
2006-10-30,3,0,3,0.0
2006-10-31,3,0,3,0.0
2006-11-01,3,0,3,0.0
2006-11-02,3,0,3,0.0
2006-11-03,3,0,3,0.0
2006-11-06,3,0,3,0.0
2006-11-07,3,0,3,0.0
2006-11-08,3,0,3,0.0
2006-11-09,3,0,3,0.0
2006-11-10,3,0,3,0.0
2006-11-13,3,0,3,0.0
2006-11-14,3,0,3,0.0
2006-11-15,3,0,3,0.0
2006-11-16,3,0,3,0.0
2006-11-17,3,0,3,0.0
2006-11-20,3,0,3,0.0
2006-11-21,3,0,3,0.0
2006-11-22,3,0,3,0.0
2006-11-23,3,0,3,0.0
2006-11-24,3,0,3,0.0
2006-11-27,3,0,3,0.0
2006-11-28,3,0,3,0.0
2006-11-29,3,0,3,0.0
2006-11-30,3,0,3,0.0
2006-12-01,3,0,3,0.0
2006-12-04,4,0,4,0.0
2006-12-05,4,0,4,0.0
2006-12-06,4,0,4,0.0
2006-12-07,4,0,4,0.0
2006-12-08,4,0,4,0.0
2006-12-11,4,0,4,0.0
2006-12-12,4,0,4,0.0
2006-12-13,4,0,4,0.0
2006-12-14,4,0,4,0.0
2006-12-15,4,0,4,0.0
2006-12-18,4,0,4,0.0
2006-12-19,4,0,4,0.0
2006-12-20,4,0,4,0.0
2006-12-21,4,0,4,0.0
2006-12-22,4,0,4,0.0
2006-12-25,4,0,4,0.0
2006-12-26,4,0,4,0.0
2006-12-27,4,0,4,0.0
2006-12-28,4,0,4,0.0
2006-12-29,4,0,4,0.0
2007-01-04,4,0,4,0.0
2007-01-05,4,0,4,0.0
2007-01-08,4,0,4,0.0
2007-01-09,4,0,4,0.0
2007-01-10,4,0,4,0.0
2007-01-11,4,0,4,0.0
2007-01-12,4,0,4,0.0
2007-01-15,4,0,4,0.0
2007-01-16,4,0,4,0.0
2007-01-17,4,0,4,0.0
2007-01-18,4,0,4,0.0
2007-01-19,4,0,4,0.0
2007-01-22,4,0,4,0.0
2007-01-23,4,0,4,0.0
2007-01-24,4,0,4,0.0
2007-01-25,4,0,4,0.0
2007-01-26,4,0,4,0.0
2007-01-29,4,0,4,0.0
2007-01-30,4,0,4,0.0
2007-01-31,4,0,4,0.0
